_time,eventcat,block_height,tx_index,out_address,out_n,out_script,out_spent,out_tx_index,out_value,in_address,in_n,in_script,in_tx_index,in_value
2018-07-16T20:46:11.000-0400,output_to,532209,360716205,39YFuZB8h2QoJi9HtoANAgVxAf6K2uY7Zt,1,a9145618ef5c5ba8d4b10e0b038e9f8e41d0f84511b687,False,360716205,984778,,,,,
2018-07-16T20:46:11.000-0400,output_to,532209,360716205,13F92TbrdnxJovsi8pKkpu1aJmTVqQ4a3H,0,76a914189cc62abbc01b197e92ffdec302336d66e06ddb88ac,False,360716205,89285847,,,,,
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,3FbYiH9EdE2ptyK6oDT63mt6hNfBeCiC5x,0,a9149888f757b0f4795860b42cd315a550711170d46587,360716630,998118
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,3Pz8e4GG51ojk7iJ1n13n7BhNBwz4zc4Bs,0,a914f48f71d26779e63b7865cefb588165da6c84004287,360715896,979039
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,3LqLxhYDuqG3yvMEteVY9EepBqZ2s9WyLs,0,a914d1fd9be88f3516daccd776c0d52a75e0333e31c187,360714117,7347282
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,3K3cufXFUZPQhudWbcoJNxaG6A3BViwCBE,1,a914be5fa9543340afe44c58b73798261e3b75ea5be287,360714738,999878
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,37EUiq6iMUGTMmeh8zg6HkjhrojzCSG9Av,1,a9143ccbe4c3c19354467ce9a6abcfe6a74c895a60ec87,360715689,1050040
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,3FNABdTJ9fEyGL7fjuy82BAMGVnru1vEMt,0,a9149600c0bcbb377d877fb041d4dd138ecd927c539c87,360711689,366150
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,3AeXjmHts3tpnb7duvbqQueX6g8F753ZWB,1,a9146240c59293188ace04cad47b062674c569da371287,360713235,1008081
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,3DhQebTJ4ean7MeFDUdC1udsx7AjcFjUxF,0,a91483b47ab31e98ad2c549dd2006a3ed8bb8402f24c87,360716696,996127
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,372YLNkQ4rNaWv7WnQXvaYhYnQBc34GWQo,0,a9143a89eafd8cf77385c877150837520433484dd31887,360716703,1017445
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,3PQXcTVwYuy65fgUCRSh6gPfAQbSY9cBby,1,a914ee347a73d835086842e466e1a44ceedd20ea7cdc87,360716690,997837
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,3EqB3wbBZzFfnh35e6zcArk2UMU7Po1yCS,10,a91490249509fc50f79747702f4fa323feed521b078e87,360710070,370374
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,3QX9CEF3WVKT7FYi7aC7M9H7pJRSKsmgbS,0,a914fa6ccd6e51b6b4fca825e86f751a772e28ffc91587,360713164,1000878
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,3A4L9iVqAQ9LRxvQPupwDNLzjXy4Qu2rFb,15,a9145bc8f4e9f9162f046497afdf2eb2cc0a41ce7ea987,360707434,337368
2018-07-16T20:46:11.000-0400,input_from,532209,360716205,,,,,,,3Jkkp3cnV8CZ51HkFBKXeKmQfvPeUCeywA,1,a914bb2f2ff1c5c498b255d4b46f157c909e68cdb36c87,360716721,998408
