ACCESS_TIME,ACCESS_DAY,ACCESS_SEC,TYPE,AP_MAC,HMAC,HDEV,CNT,ASSO_CNT,MAX_ACCESS_TIME,USRINF_SEX,USRINF_AGE,USRINF_ADDR_CD_2,USRINF_ADDR_CD_5,USRINF_PREF,USRINF_CITY,APINF_SB_ID,APINF_ADDR_CD_2,APINF_ADDR_CD_5,APINF_ADDR_CD_11,APINF_CITY,APINF_PREF,APINF_SECTION,APINF_STREET,APINF_LAT,APINF_LNG,APINF_CATEGORY1,APINF_CATEGORY2,APINF_VENUE
2018-01-03 11:30:00,2018-01-03,41400,0,apmac405,dev405,dev405,2,1,2018-01-03 11:38:00,1,50,14,14135,神奈川県,川崎市多摩区,apinf405,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.988,135.759,3100000,3153000,venue107
2018-01-03 11:30:00,2018-01-03,41400,0,apmac406,dev406,dev406,1,0,2018-01-03 11:32:00,,,13,13101,東京都,千代田区,apinf406,26,26106,null,京都府,京都市下京区,東塩小路　高倉町,null,34.984,135.759,3100000,3122000/3173000,venue106
2018-01-03 11:00:00,2018-01-03,39600,0,apmac407,dev407,dev407,1,0,2018-01-03 11:03:00,,,14,14153,神奈川県,相模原市南区,apinf407,26,26106,null,京都府,京都市下京区,東塩小路町,東塩小路町,34.986,135.759,3500000,3508000,venue105
2018-01-03 11:15:00,2018-01-03,40500,0,apmac408,dev408,dev408,1,0,2018-01-03 11:15:00,,,13,13104,東京都,新宿区,apinf408,26,26106,null,京都府,京都市下京区,東塩小路　高倉町,null,34.984,135.759,3100000,3122000/3173000,venue104
2018-01-03 11:15:00,2018-01-03,40500,0,apmac409,dev409,dev409,1,0,2018-01-03 11:24:00,0,40,13,13116,東京都,豊島区,apinf409,26,26106,null,京都府,京都市下京区,東境町,null,34.989,135.759,2000000,2020026,venue103
2018-01-03 11:15:00,2018-01-03,40500,0,apmac410,dev410,dev410,1,0,2018-01-03 11:15:00,,,14,14153,神奈川県,相模原市南区,apinf410,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue102
2018-01-03 11:00:00,2018-01-03,39600,0,apmac411,dev411,dev411,10,5,2018-01-03 11:11:00,,,13,13108,東京都,江東区,apinf411,26,26107,null,京都府,京都市南区,東九条室町,null,34.984,135.757,1900000,1913000,venue101
2018-01-03 11:45:00,2018-01-03,42300,0,apmac412,dev412,dev412,8,0,2018-01-03 11:51:00,1,35,23,23202,愛知県,岡崎市,apinf412,26,26107,null,京都府,京都市南区,東九条西山王町,null,34.984,135.76,3400000,3401008,venue100
2018-01-03 11:30:00,2018-01-03,41400,0,apmac413,dev413,dev413,1,0,2018-01-03 11:37:00,1,45,13,13227,東京都,羽村市,apinf413,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue99
2018-01-03 11:30:00,2018-01-03,41400,0,apmac414,dev414,dev414,1,0,2018-01-03 11:35:00,0,20,12,12,千葉県,null,apinf414,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue98
2018-01-03 11:30:00,2018-01-03,41400,0,apmac415,dev415,dev415,1,0,2018-01-03 11:35:00,0,55,12,12204,千葉県,船橋市,apinf415,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue97
2018-01-03 11:30:00,2018-01-03,41400,0,apmac416,dev416,dev416,1,0,2018-01-03 11:35:00,,,13,13103,東京都,港区,apinf416,26,26106,null,京都府,京都市下京区,真苧屋町,真苧屋町,34.989,135.76,3500000,3501019,venue96
2018-01-03 11:30:00,2018-01-03,41400,0,apmac417,dev417,dev417,10,4,2018-01-03 11:39:00,0,30,13,13110,東京都,目黒区,apinf417,26,26106,null,京都府,京都市下京区,東塩小路町,東塩小路町,34.986,135.759,3500000,3508000,venue95
2018-01-03 11:45:00,2018-01-03,42300,0,apmac418,dev418,dev418,1,0,2018-01-03 11:54:00,,,13,13103,東京都,港区,apinf418,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.988,135.759,3100000,3123000/3173000,venue94
2018-01-03 11:45:00,2018-01-03,42300,0,apmac419,dev419,dev419,4,2,2018-01-03 11:56:00,,,13,13111,東京都,大田区,apinf419,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.987,135.757,2100000,2102000,venue93
2018-01-03 11:00:00,2018-01-03,39600,0,apmac420,dev420,dev420,1,0,2018-01-03 11:10:00,0,65,14,14212,神奈川県,厚木市,apinf420,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue92
2018-01-03 11:00:00,2018-01-03,39600,0,apmac421,dev421,dev421,1,0,2018-01-03 11:01:00,,,13,13103,東京都,港区,apinf421,26,26106,null,京都府,京都市下京区,東塩小路町,東塩小路町,34.986,135.759,3500000,3508000,venue91
2018-01-03 11:00:00,2018-01-03,39600,0,apmac422,dev422,dev422,1,1,2018-01-03 11:02:00,0,40,12,12101,千葉県,千葉市中央区,apinf422,26,26106,null,京都府,京都市下京区,東塩小路　釜殿町,null,34.985,135.759,3100000,3140000,venue90
2018-01-03 11:15:00,2018-01-03,40500,0,apmac423,dev423,dev423,2,0,2018-01-03 11:18:00,,,13,13103,東京都,港区,apinf423,26,26106,null,京都府,京都市下京区,真苧屋町,真苧屋町,34.989,135.76,3500000,3501019,venue89
2018-01-03 11:00:00,2018-01-03,39600,0,apmac424,dev424,dev424,2,1,2018-01-03 11:09:00,1,20,12,12203,千葉県,市川市,apinf424,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue88
2018-01-03 11:45:00,2018-01-03,42300,0,apmac425,dev425,dev425,1,1,2018-01-03 11:54:00,1,30,22,22131,静岡県,浜松市中区,apinf425,26,26107,null,京都府,京都市南区,東九条室町,null,34.984,135.757,1900000,1913000,venue87
2018-01-03 11:15:00,2018-01-03,40500,0,apmac426,dev426,dev426,3,0,2018-01-03 11:20:00,,,13,13103,東京都,港区,apinf426,26,26106,null,京都府,京都市下京区,真苧屋町,真苧屋町,34.989,135.76,3500000,3501019,venue86
2018-01-03 11:45:00,2018-01-03,42300,0,apmac427,dev427,dev427,28,14,2018-01-03 11:57:00,1,25,13,13113,東京都,渋谷区,apinf427,26,26106,null,京都府,京都市下京区,東塩小路町,東塩小路町,34.986,135.759,3500000,3508000,venue85
2018-01-03 11:45:00,2018-01-03,42300,0,apmac428,dev428,dev428,1,0,2018-01-03 11:47:00,0,40,13,13116,東京都,豊島区,apinf428,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.988,135.759,3100000,3123000,venue84
2018-01-03 11:15:00,2018-01-03,40500,0,apmac429,dev429,dev429,1,0,2018-01-03 11:24:00,,,14,14153,神奈川県,相模原市南区,apinf429,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue83
2018-01-03 11:15:00,2018-01-03,40500,0,apmac430,dev430,dev430,2,0,2018-01-03 11:29:00,,,13,13101,東京都,千代田区,apinf430,26,26106,null,京都府,京都市下京区,真苧屋町,真苧屋町,34.989,135.76,3500000,3501019,venue82
2018-01-03 11:15:00,2018-01-03,40500,0,apmac431,dev431,dev431,2,0,2018-01-03 11:28:00,,,13,13103,東京都,港区,apinf431,26,26106,null,京都府,京都市下京区,真苧屋町,真苧屋町,34.989,135.76,3500000,3501019,venue81
2018-01-03 11:15:00,2018-01-03,40500,0,apmac432,dev432,dev432,2,1,2018-01-03 11:21:00,1,45,12,12227,千葉県,浦安市,apinf432,26,26106,null,京都府,京都市下京区,東塩小路町,東塩小路町,34.986,135.759,3500000,3508000,venue80
2018-01-03 11:00:00,2018-01-03,39600,0,apmac433,dev433,dev433,1,0,2018-01-03 11:08:00,,,13,13102,東京都,中央区,apinf433,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue79
2018-01-03 11:30:00,2018-01-03,41400,0,apmac434,dev434,dev434,1,0,2018-01-03 11:44:00,1,35,13,13110,東京都,目黒区,apinf434,26,26107,null,京都府,京都市南区,東九条西山王町,null,34.984,135.76,3400000,3401008,venue78
2018-01-03 11:00:00,2018-01-03,39600,0,apmac435,dev435,dev435,10,5,2018-01-03 11:14:00,1,25,13,13120,東京都,練馬区,apinf435,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue77
2018-01-03 11:45:00,2018-01-03,42300,0,apmac436,dev436,dev436,5,2,2018-01-03 11:52:00,0,30,14,14109,神奈川県,横浜市港北区,apinf436,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue76
2018-01-03 11:45:00,2018-01-03,42300,0,apmac437,dev437,dev437,1,0,2018-01-03 11:58:00,0,60,23,23201,愛知県,豊橋市,apinf437,26,26106,null,京都府,京都市下京区,夷之町,夷之町,34.989,135.757,2100000,2104000,venue75
2018-01-03 11:45:00,2018-01-03,42300,0,apmac438,dev438,dev438,2,0,2018-01-03 11:52:00,1,50,23,23226,愛知県,尾張旭市,apinf438,26,26106,null,京都府,京都市下京区,東塩小路町,東塩小路町,34.986,135.759,3500000,3508000,venue74
2018-01-03 11:15:00,2018-01-03,40500,0,apmac439,dev439,dev439,1,1,2018-01-03 11:19:00,,,13,13103,東京都,港区,apinf439,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.987,135.761,3100000,3123000,venue73
2018-01-03 11:15:00,2018-01-03,40500,0,apmac440,dev440,dev440,6,3,2018-01-03 11:28:00,,,13,13108,東京都,江東区,apinf440,26,26107,null,京都府,京都市南区,東九条室町,null,34.984,135.757,1900000,1913000,venue72
2018-01-03 11:45:00,2018-01-03,42300,0,apmac441,dev441,dev441,6,3,2018-01-03 11:57:00,,,13,13109,東京都,品川区,apinf441,26,26106,null,京都府,京都市下京区,真苧屋町,真苧屋町,34.989,135.761,3100000,3167000,venue71
2018-01-03 11:45:00,2018-01-03,42300,0,apmac442,dev442,dev442,3,0,2018-01-03 11:59:00,,,13,13103,東京都,港区,apinf442,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.987,135.76,3500000,3526000,venue70
2018-01-03 11:45:00,2018-01-03,42300,0,apmac443,dev443,dev443,8,4,2018-01-03 11:52:00,1,25,13,13120,東京都,練馬区,apinf443,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue69
2018-01-03 11:45:00,2018-01-03,42300,0,apmac444,dev444,dev444,6,3,2018-01-03 11:52:00,1,15,23,23114,愛知県,名古屋市緑区,apinf444,26,26106,null,京都府,京都市下京区,東塩小路町,東塩小路町,34.986,135.759,3500000,3508000,venue68
2018-01-03 11:00:00,2018-01-03,39600,0,apmac445,dev445,dev445,2,1,2018-01-03 11:09:00,,,13,13103,東京都,港区,apinf445,26,26106,null,京都府,京都市下京区,粉川町,粉川町,34.99,135.76,3100000,3123000,venue67
2018-01-03 11:30:00,2018-01-03,41400,0,apmac446,dev446,dev446,1,0,2018-01-03 11:40:00,,,14,14153,神奈川県,相模原市南区,apinf446,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue66
2018-01-03 11:30:00,2018-01-03,41400,0,apmac447,dev447,dev447,2,0,2018-01-03 11:44:00,,,13,13116,東京都,豊島区,apinf447,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.987,135.76,3200000,3227001,venue65
2018-01-03 11:15:00,2018-01-03,40500,0,apmac448,dev448,dev448,1,0,2018-01-03 11:26:00,0,55,23,23114,愛知県,名古屋市緑区,apinf448,26,26107,null,京都府,京都市南区,東九条西山王町,null,34.984,135.76,3400000,3401008,venue64
2018-01-03 11:15:00,2018-01-03,40500,0,apmac449,dev449,dev449,1,0,2018-01-03 11:20:00,,,13,13101,東京都,千代田区,apinf449,26,26106,null,京都府,京都市下京区,東塩小路　釜殿町,null,34.985,135.759,3100000,3130009,venue63
2018-01-03 11:15:00,2018-01-03,40500,0,apmac450,dev450,dev450,1,0,2018-01-03 11:22:00,,,13,13103,東京都,港区,apinf450,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue62
2018-01-03 11:15:00,2018-01-03,40500,0,apmac451,dev451,dev451,1,0,2018-01-03 11:21:00,,,13,13103,東京都,港区,apinf451,26,26106,null,京都府,京都市下京区,真苧屋町,真苧屋町,34.989,135.76,3500000,3501019,venue61
2018-01-03 11:00:00,2018-01-03,39600,0,apmac452,dev452,dev452,7,4,2018-01-03 11:12:00,1,20,23,23102,愛知県,名古屋市東区,apinf452,26,26106,null,京都府,京都市下京区,東塩小路町,東塩小路町,34.986,135.759,3500000,3508000,venue60
2018-01-03 11:45:00,2018-01-03,42300,0,apmac453,dev453,dev453,1,0,2018-01-03 11:58:00,,,13,13103,東京都,港区,apinf453,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue59
2018-01-03 11:45:00,2018-01-03,42300,0,apmac454,dev454,dev454,6,3,2018-01-03 11:47:00,0,35,13,13122,東京都,葛飾区,apinf454,26,26106,null,京都府,京都市下京区,東塩小路町,東塩小路町,34.986,135.759,3500000,3508000,venue58
2018-01-03 11:00:00,2018-01-03,39600,0,apmac455,dev455,dev455,4,2,2018-01-03 11:12:00,1,20,13,13112,東京都,世田谷区,apinf455,26,26106,null,京都府,京都市下京区,東塩小路町,東塩小路町,34.986,135.759,3500000,3508000,venue57
2018-01-03 11:00:00,2018-01-03,39600,0,apmac456,dev456,dev456,17,9,2018-01-03 11:09:00,1,55,10,10202,群馬県,高崎市,apinf456,26,26106,null,京都府,京都市下京区,東塩小路町,東塩小路町,34.986,135.759,3500000,3508000,venue56
2018-01-03 11:00:00,2018-01-03,39600,0,apmac457,dev457,dev457,5,0,2018-01-03 11:13:00,,,13,13101,東京都,千代田区,apinf457,26,26106,null,京都府,京都市下京区,真苧屋町,真苧屋町,34.989,135.76,3100000,3143000,venue55
2018-01-03 11:00:00,2018-01-03,39600,0,apmac458,dev458,dev458,1,0,2018-01-03 11:04:00,,,13,13103,東京都,港区,apinf458,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.988,135.76,3700000,3728000,venue54
2018-01-03 11:15:00,2018-01-03,40500,0,apmac459,dev459,dev459,5,0,2018-01-03 11:29:00,,,13,13101,東京都,千代田区,apinf459,26,26107,null,京都府,京都市南区,東九条西山王町,null,34.984,135.76,3400000,3406000,venue53
2018-01-03 11:30:00,2018-01-03,41400,0,apmac460,dev460,dev460,2,1,2018-01-03 11:43:00,0,30,14,14109,神奈川県,横浜市港北区,apinf460,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue52
2018-01-03 11:30:00,2018-01-03,41400,0,apmac461,dev461,dev461,2,0,2018-01-03 11:37:00,,,13,13101,東京都,千代田区,apinf461,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.987,135.76,3500000,3526000,venue51
2018-01-03 11:30:00,2018-01-03,41400,0,apmac462,dev462,dev462,2,1,2018-01-03 11:44:00,0,30,14,14131,神奈川県,川崎市川崎区,apinf462,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.987,135.76,3500000,3526000,venue50
2018-01-03 11:30:00,2018-01-03,41400,0,apmac463,dev463,dev463,2,1,2018-01-03 11:38:00,,,13,13102,東京都,中央区,apinf463,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.987,135.76,null,null,venue49
